sector,year,region,scenario_source,emission_factor_metric,emission_factor_value
cement,2020,advanced economies,demo_2020,projected,0.02298667871783423
cement,2020,developing asia,demo_2020,projected,0.05952278892079012
cement,2020,global,demo_2020,projected,0.6643119669148667
cement,2021,advanced economies,demo_2020,projected,0.023164799208488213
cement,2021,developing asia,demo_2020,projected,0.05937320932021781
cement,2021,global,demo_2020,projected,0.6652207353686838
cement,2022,advanced economies,demo_2020,projected,0.02334291966694675
cement,2022,developing asia,demo_2020,projected,0.05922362971964551
cement,2022,global,demo_2020,projected,0.6661295035244527
cement,2023,advanced economies,demo_2020,projected,0.02352104015760073
cement,2023,developing asia,demo_2020,projected,0.05907405017947662
cement,2023,global,demo_2020,projected,0.6670382719586899
cement,2024,advanced economies,demo_2020,projected,0.02369916061605927
cement,2024,developing asia,demo_2020,projected,0.058924470578904306
cement,2024,global,demo_2020,projected,0.6679470404431431
cement,2025,advanced economies,demo_2020,projected,0.023877281074517812
cement,2025,developing asia,demo_2020,projected,0.058774890978331995
cement,2025,global,demo_2020,projected,0.6688558087975573
steel,2020,developing asia,demo_2020,projected,0.202162902
steel,2020,europe,demo_2020,projected,0.07697137
steel,2020,global,demo_2020,projected,0.2852330826035042
steel,2021,developing asia,demo_2020,projected,0.199856479
steel,2021,europe,demo_2020,projected,0.077088465
steel,2021,global,demo_2020,projected,0.28691046673545373
steel,2022,developing asia,demo_2020,projected,0.197550055
steel,2022,europe,demo_2020,projected,0.07720556
steel,2022,global,demo_2020,projected,0.2885628396201085
steel,2023,developing asia,demo_2020,projected,0.195243632
steel,2023,europe,demo_2020,projected,0.077322655
steel,2023,global,demo_2020,projected,0.2901905121226104
steel,2024,developing asia,demo_2020,projected,0.192937208
steel,2024,europe,demo_2020,projected,0.07743975
steel,2024,global,demo_2020,projected,0.291793788832908
steel,2025,developing asia,demo_2020,projected,0.190630785
steel,2025,europe,demo_2020,projected,0.077556845
steel,2025,global,demo_2020,projected,0.29337296992496636
cement,2020,advanced economies,demo_2020,corporate_economy,0.6675147484081301
cement,2020,caspian,demo_2020,corporate_economy,0.639616878
cement,2020,developing asia,demo_2020,corporate_economy,0.6565920908552837
cement,2020,europe,demo_2020,corporate_economy,0.6296168
cement,2020,global,demo_2020,corporate_economy,0.6692937636513615
cement,2021,advanced economies,demo_2020,corporate_economy,0.6587678797938707
cement,2021,caspian,demo_2020,corporate_economy,0.644423337
cement,2021,developing asia,demo_2020,corporate_economy,0.6590092796929586
cement,2021,europe,demo_2020,corporate_economy,0.622270997
cement,2021,global,demo_2020,corporate_economy,0.6702766682660144
cement,2022,advanced economies,demo_2020,corporate_economy,0.6478055772248303
cement,2022,caspian,demo_2020,corporate_economy,0.649229796
cement,2022,developing asia,demo_2020,corporate_economy,0.6618657028122158
cement,2022,europe,demo_2020,corporate_economy,0.614925194
cement,2022,global,demo_2020,corporate_economy,0.6712236994310585
cement,2023,advanced economies,demo_2020,corporate_economy,0.6344980724661953
cement,2023,caspian,demo_2020,corporate_economy,0.654036254
cement,2023,developing asia,demo_2020,corporate_economy,0.6652291962522769
cement,2023,europe,demo_2020,corporate_economy,0.607579391
