sector,technology,year,region,scenario_source,metric,production,technology_share,scope,percentage_of_initial_production_by_scope
automotive,electric,2025,vietnam,nze_2023,projected,10000,0.22222222222222224,sector,0
automotive,electric,2025,vietnam,nze_2023,target_nze_global,11356.222222222223,0.2306878306878307,sector,0
automotive,electric,2025,vietnam,pdp8_2023,projected,10000,0.22222222222222224,sector,0
automotive,electric,2025,vietnam,pdp8_2023,target_pdp8_ndc,11356.222222222223,0.2306878306878307,sector,0
automotive,electric,2025,vietnam,steps_2023,projected,10000,0.22222222222222224,sector,0
automotive,electric,2025,vietnam,steps_2023,target_steps,11356.222222222223,0.2306878306878307,sector,0
automotive,electric,2026,vietnam,nze_2023,projected,15555.555555555555,0.22222222222222224,sector,0.08192692118630181
automotive,electric,2026,vietnam,nze_2023,target_nze_global,15424.888888888889,0.2674556557594668,sector,0.05714285714285713
automotive,electric,2026,vietnam,pdp8_2023,projected,15555.555555555555,0.22222222222222224,sector,0.08192692118630181
automotive,electric,2026,vietnam,pdp8_2023,target_pdp8_ndc,13390.555555555555,0.24961902865846075,sector,0.028571428571428553
automotive,electric,2026,vietnam,steps_2023,projected,15555.555555555555,0.22222222222222224,sector,0.08192692118630181
automotive,electric,2026,vietnam,steps_2023,target_steps,11356.222222222223,0.2280507905426897,sector,0
automotive,electric,2027,vietnam,nze_2023,projected,22222.222222222223,0.2222222222222222,sector,0.18023922660986402
automotive,electric,2027,vietnam,nze_2023,target_nze_global,21527.888888888887,0.3254736840790021,sector,0.14285714285714282
automotive,electric,2027,vietnam,pdp8_2023,projected,22222.222222222223,0.2222222222222222,sector,0.18023922660986402
automotive,electric,2027,vietnam,pdp8_2023,target_pdp8_ndc,16103,0.27242411125864957,sector,0.06666666666666665
automotive,electric,2027,vietnam,steps_2023,projected,22222.222222222223,0.2222222222222222,sector,0.18023922660986402
automotive,electric,2027,vietnam,steps_2023,target_steps,12034.333333333334,0.2344268413083308,sector,0.009523809523809526
automotive,electric,2028,vietnam,nze_2023,projected,28888.888888888887,0.2222222222222222,sector,0.27855153203342614
automotive,electric,2028,vietnam,nze_2023,target_nze_global,28987.111111111113,0.3947995996393295,sector,0.24761904761904763
automotive,electric,2028,vietnam,pdp8_2023,projected,28888.888888888887,0.2222222222222222,sector,0.27855153203342614
automotive,electric,2028,vietnam,pdp8_2023,target_pdp8_ndc,19493.555555555555,0.3001596346181801,sector,0.11428571428571425
automotive,electric,2028,vietnam,steps_2023,projected,28888.888888888887,0.2222222222222222,sector,0.27855153203342614
automotive,electric,2028,vietnam,steps_2023,target_steps,12712.444444444445,0.23811171038309553,sector,0.019047619047619053
automotive,electric,2029,vietnam,nze_2023,projected,35555.555555555555,0.22222222222222224,sector,0.37686383745698837
automotive,electric,2029,vietnam,nze_2023,target_nze_global,37124.444444444445,0.47385023118960196,sector,0.3619047619047619
