year,model,scenario,scenario_geography,variable,unit,carbon_tax
2025,synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,12
2026,synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,18
2027,synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,26
2028,synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,34
2029,synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,42
2030,synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,50
2025,synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,7.2
2026,synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,10.8
2027,synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,15.6
2028,synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,20.4
2029,synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,25.2
2030,synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,30
2025,synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,3.6
2026,synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,5.4
2027,synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,7.8
2028,synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,10.2
2029,synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,12.6
2030,synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,15
