run_label,parameter_name,parameter_value,company_id,company_name,sector,npv_change,pd_change,mean_abs_alignment_gap_pp,worst_alignment_gap_pp,alignment_context,stress_priority_score,base_npv_change,base_pd_change,base_stress_priority_score,delta_npv_change_vs_base,delta_pd_change_vs_base,delta_priority_vs_base
base,base,base,VN_ABCD_020,VICEM,Cement,-0.34645162958819986,0.05879941677672493,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,0,0,0
base,base,base,VN_ABCD_021,Holcim Group,Cement,-0.31720679463561496,0.038959632457998605,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,0,0,0
shock_year_2027,shock_year,2027,VN_ABCD_020,VICEM,Cement,-0.29410535249613595,0.0521868269511607,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,0.05234627709206391,-0.00661258982556423,0
shock_year_2027,shock_year,2027,VN_ABCD_021,Holcim Group,Cement,-0.2634159966687881,0.03279732133222557,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,0.05379079796682684,-0.0061623111257730345,0
shock_year_2029,shock_year,2029,VN_ABCD_020,VICEM,Cement,-0.43089698644856894,0.07051331926330925,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,-0.08444535686036908,0.011713902486584327,0
shock_year_2029,shock_year,2029,VN_ABCD_021,Holcim Group,Cement,-0.4049852713434798,0.05057728887652002,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,-0.08777847670786482,0.011617656418521416,0
discount_rate_0.06,discount_rate,0.06,VN_ABCD_020,VICEM,Cement,-0.34781257307056823,0.0628000006436975,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,-0.0013609434823683708,0.004000583866972579,0
discount_rate_0.06,discount_rate,0.06,VN_ABCD_021,Holcim Group,Cement,-0.3184997113887752,0.042223834167462115,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,-0.0012929167531602337,0.00326420170946351,0
discount_rate_0.10,discount_rate,0.10,VN_ABCD_020,VICEM,Cement,-0.34515895574583955,0.05514327991126042,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,0.0012926738423603146,-0.00365613686546451,0
discount_rate_0.10,discount_rate,0.10,VN_ABCD_021,Holcim Group,Cement,-0.31597922998995126,0.036048892192282245,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,0.0012275646456637035,-0.0029107402657163606,0
risk_free_rate_0.02,risk_free_rate,0.02,VN_ABCD_020,VICEM,Cement,-0.34645162958819986,0.062438234083151856,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,0,0.003638817306426928,0
risk_free_rate_0.02,risk_free_rate,0.02,VN_ABCD_021,Holcim Group,Cement,-0.31720679463561496,0.047049169646608886,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,0,0.008089537188610281,0
risk_free_rate_0.04,risk_free_rate,0.04,VN_ABCD_020,VICEM,Cement,-0.34645162958819986,0.054800418216970126,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,0,-0.003998998559754802,0
risk_free_rate_0.04,risk_free_rate,0.04,VN_ABCD_021,Holcim Group,Cement,-0.31720679463561496,0.03173360688526806,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,0,-0.0072260255727305475,0
market_passthrough_0.15,market_passthrough,0.15,VN_ABCD_020,VICEM,Cement,-0.37788798106768506,0.06480506157659457,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,-0.0314363514794852,0.006005644799869647,0
market_passthrough_0.15,market_passthrough,0.15,VN_ABCD_021,Holcim Group,Cement,-0.3447422822172154,0.043658919283670494,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,-0.02753548758160046,0.004699286825671889,0
market_passthrough_0.35,market_passthrough,0.35,VN_ABCD_020,VICEM,Cement,-0.3150152781087147,0.05291116942650295,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.34645162958819986,0.05879941677672493,95,0.03143635147948515,-0.005888247350221976,0
market_passthrough_0.35,market_passthrough,0.35,VN_ABCD_021,Holcim Group,Cement,-0.2896713070540145,0.03451152049563211,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31720679463561496,0.038959632457998605,5,0.02753548758160046,-0.004448111962366497,0
