run_id,asset_id,asset_name,company_id,company_name,country_iso2,sector,technology,year,production_plan_company_technology,production_baseline_scenario,production_target_scenario,production_shock_scenario,pd,net_profit_margin,debt_equity_ratio,volatility,scenario_price_baseline,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2025,76650000,76650000,76650000,76650000,0.012,0.085,1.6,0.22,68,68,443037000.00000006,443037000.00000006,443037000.00000006,443037000.00000006,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2026,73912500,73912500,64424234.254143655,73912500,0.012,0.085,1.6,0.22,68.4,68.4,429727275.00000006,429727275.00000006,397895625,397895625,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2027,68328000,68328000,50739910.359116025,68328000,0.012,0.085,1.6,0.22,68.8,68.8,399582144,399582144,342577283.95061725,342577283.95061725,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2028,64605000,64605000,38514961.32596685,43924040.51104973,0.012,0.085,1.6,0.22,69.2,69.2,380006610,125353721.11347207,301661498.81877756,99509825.35172488,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2029,60444000.00000001,60444000.00000001,28072266.96132597,19520081.022099458,0.012,0.085,1.6,0.22,69.6,64.6,357586704,43252205.127147526,262836902.4030889,31791661.967729248,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2030,55406999.99999999,55406999.99999999,19049370.165745854,0,0.012,0.085,1.6,0.22,70,60,329671650,0,224368985.52839243,0,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam) :: CoalCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,CoalCap,2031,NA,NA,NA,NA,0.012,0.085,1.6,0.22,NA,NA,336265083,0,5604418050,0,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2025,7227000.000000001,7227000.000000001,7227000.000000001,7227000.000000001,0.012,0.085,1.6,0.22,60,60,36857700.00000001,36857700.00000001,36857700.00000001,36857700.00000001,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2026,7456512,7456512,7722931.263157895,7456512,0.012,0.085,1.6,0.22,60.6,60.6,38408493.312,38408493.312,35563419.73333333,35563419.73333333,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2027,7689528.000000001,7689528.000000001,9233823.789473685,7689528.000000001,0.012,0.085,1.6,0.22,61.2,61.2,40000924.65600001,40000924.65600001,34294345.55555556,34294345.55555556,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2028,7926048,7926048,10080814.357894735,9331599.797368422,0.012,0.085,1.6,0.22,61.8,61.8,41635530.144,28833141.46146086,33051626.200274345,22888677.30200304,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2029,8166071.999999999,8166071.999999999,10351074.189473685,10973671.59473684,0.012,0.085,1.6,0.22,62.4,60.15,43312845.888,25859035.86706927,31836234.7372521,19007163.326830138,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2030,8409600,8409600,10678411.184210526,12615743.392105265,0.012,0.085,1.6,0.22,63,58.5,45033408,22297734.86261672,30648980.789965384,15175463.679410657,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam) :: GasCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,GasCap,2031,NA,NA,NA,NA,0.012,0.085,1.6,0.22,NA,NA,45934076.16,22743689.559869055,765567936.0000001,379061492.66448426,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_HydroCap,EVN (Electricity of Vietnam) :: HydroCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,HydroCap,2025,30747600,30747600,30747600,30747600,0.012,0.085,1.6,0.22,56,56,146358576,146358576,146358576,146358576,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_HydroCap,EVN (Electricity of Vietnam) :: HydroCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,HydroCap,2026,30944700.000000004,30944700.000000004,30691966.10604905,30944700.000000004,0.012,0.085,1.6,0.22,56.1,56.1,147559801.95000002,147559801.95000002,136629446.25,136629446.25,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_HydroCap,EVN (Electricity of Vietnam) :: HydroCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,HydroCap,2027,31141800,31141800,30640794.31622045,31141800,0.012,0.085,1.6,0.22,56.2,56.2,148764378.60000002,148764378.60000002,127541476.85185188,127541476.85185188,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
7ce00e25-14b4-4758-906c-36cb2905b490,VN_ABCD_001_HydroCap,EVN (Electricity of Vietnam) :: HydroCap,VN_ABCD_001,EVN (Electricity of Vietnam),VN,Power,HydroCap,2028,31338900.000000004,31338900.000000004,30649101.42495886,30778055.44294144,0.012,0.085,1.6,0.22,56.3,56.3,149972305.95000002,147288384.32219627,119052851.72325104,116922268.20272908,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2028,0.25
