run_id,company_id,asset_id,company_name,asset_name,sector,technology,country_iso2,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_change,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_020,VN_ABCD_020_IntegratedFacility_2026,VICEM,VICEM :: IntegratedFacility :: 2026,Cement,IntegratedFacility,VN,2709604513.7613864,1057408611.0363276,-1652195902.7250588,-0.6097553699567518,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_020,VN_ABCD_020_IntegratedFacility_2027,VICEM,VICEM :: IntegratedFacility :: 2027,Cement,IntegratedFacility,VN,2734337563.6266513,1159786721.105912,-1574550842.5207393,-0.5758436205778321,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_020,VN_ABCD_020_IntegratedFacility_2028,VICEM,VICEM :: IntegratedFacility :: 2028,Cement,IntegratedFacility,VN,2750147024.9682984,1222337797.329886,-1527809227.6384125,-0.5555372908312143,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_020,VN_ABCD_020_IntegratedFacility_2029,VICEM,VICEM :: IntegratedFacility :: 2029,Cement,IntegratedFacility,VN,2750338851.974349,1233890093.072459,-1516448758.90189,-0.5513679733729163,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_020,VN_ABCD_020_IntegratedFacility_2030,VICEM,VICEM :: IntegratedFacility :: 2030,Cement,IntegratedFacility,VN,2768344277.2430243,1264021115.7644207,-1504323161.4786036,-0.5434017632289395,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_021,VN_ABCD_021_IntegratedFacility_2026,Holcim Group,Holcim Group :: IntegratedFacility :: 2026,Cement,IntegratedFacility,VN,1891212099.6049812,783054605.7662122,-1108157493.838769,-0.5859509327749282,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_021,VN_ABCD_021_IntegratedFacility_2027,Holcim Group,Holcim Group :: IntegratedFacility :: 2027,Cement,IntegratedFacility,VN,1889994979.0957525,849133237.0893059,-1040861742.0064466,-0.5507219614437471,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_021,VN_ABCD_021_IntegratedFacility_2028,Holcim Group,Holcim Group :: IntegratedFacility :: 2028,Cement,IntegratedFacility,VN,1897673159.0149562,892442287.4743576,-1005230871.5405986,-0.5297176000857775,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_021,VN_ABCD_021_IntegratedFacility_2029,Holcim Group,Holcim Group :: IntegratedFacility :: 2029,Cement,IntegratedFacility,VN,1923802860.6052647,911205730.90737,-1012597129.6978947,-0.5263518162039288,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
5aa1587f-5553-4b1c-9f5b-aad96c121112,VN_ABCD_021,VN_ABCD_021_IntegratedFacility_2030,Holcim Group,Holcim Group :: IntegratedFacility :: 2030,Cement,IntegratedFacility,VN,1932828968.6066957,930265009.1650276,-1002563959.441668,-0.5187028835584863,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,cement_intensity_transition,0.02,0.08,0.02,1,2030,0.25
