run_label,parameter_name,parameter_value,company_id,company_name,sector,npv_change,pd_change,mean_abs_alignment_gap_pp,worst_alignment_gap_pp,alignment_context,stress_priority_score,base_npv_change,base_pd_change,base_stress_priority_score,delta_npv_change_vs_base,delta_pd_change_vs_base,delta_priority_vs_base
base,base,base,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.5506666005147315,0.10432468128271244,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,0,0,0
base,base,base,VN_ABCD_023,Pomina Group,Steel,0.163934515134505,-0.019548807180495342,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0,0,0
shock_year_2027,shock_year,2027,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.5282700786740282,0.10623011748924749,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,0.022396521840703287,0.0019054362065350494,0
shock_year_2027,shock_year,2027,VN_ABCD_023,Pomina Group,Steel,0.1598903111414135,-0.020121626329250353,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,-0.004044203993091494,-5.728191487550105e-4,0
shock_year_2029,shock_year,2029,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.5737842261624632,0.1024000455530808,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,-0.023117625647731677,-0.0019246357296316408,0
shock_year_2029,shock_year,2029,VN_ABCD_023,Pomina Group,Steel,0.1682855933303142,-0.01900226661939547,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0.00435107819580921,5.46540561099873e-4,0
discount_rate_0.06,discount_rate,0.06,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.5528775664572847,0.11209571744063351,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,-0.0022109659425532113,0.007771036157921074,0
discount_rate_0.06,discount_rate,0.06,VN_ABCD_023,Pomina Group,Steel,0.1683998288496152,-0.021138864302084004,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0.00446531371511022,-0.0015900571215886616,0
discount_rate_0.10,discount_rate,0.10,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.548563096446427,0.09729479729470625,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,0.002103504068304507,-0.007029883988006191,0
discount_rate_0.10,discount_rate,0.10,VN_ABCD_023,Pomina Group,Steel,0.15967572833069038,-0.018098782130088142,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,-0.004258786803814613,0.0014500250504071999,0
risk_free_rate_0.02,risk_free_rate,0.02,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.5506666005147315,0.10909842640532819,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,0,0.004773745122615747,0
risk_free_rate_0.02,risk_free_rate,0.02,VN_ABCD_023,Pomina Group,Steel,0.163934515134505,-0.01992016377584349,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0,-3.71356595348149e-4,0
risk_free_rate_0.04,risk_free_rate,0.04,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.5506666005147315,0.09894835284407666,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,0,-0.00537632843863578,0
risk_free_rate_0.04,risk_free_rate,0.04,VN_ABCD_023,Pomina Group,Steel,0.163934515134505,-0.019078988017212306,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0,4.698191632830362e-4,0
market_passthrough_0.15,market_passthrough,0.15,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.6318022218171783,0.12313167118306612,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,-0.08113562130244678,0.018806989900353677,0
market_passthrough_0.15,market_passthrough,0.15,VN_ABCD_023,Pomina Group,Steel,0.163934515134505,-0.019548807180495342,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0,0,0
market_passthrough_0.35,market_passthrough,0.35,VN_ABCD_022,Hoa Phat Group JSC,Steel,-0.4695309792122848,0.08647287050971786,7.2,7.2,"Sector-level SDA gap (steel, 2030)",95,-0.5506666005147315,0.10432468128271244,95,0.08113562130244667,-0.01785181077299458,0
market_passthrough_0.35,market_passthrough,0.35,VN_ABCD_023,Pomina Group,Steel,0.163934515134505,-0.019548807180495342,7.2,7.2,"Sector-level SDA gap (steel, 2030)",5,0.163934515134505,-0.019548807180495342,5,0,0,0
