id_loan,id_direct_loantaker,name_direct_loantaker,id_ultimate_parent,name_ultimate_parent,loan_size_outstanding,loan_size_outstanding_currency,loan_size_credit_limit,loan_size_credit_limit_currency,sector_classification_system,sector_classification_direct_loantaker,lei_direct_loantaker,isin_direct_loantaker
CL_L001,CL_0100107871,EVN (Electricity of Vietnam),CL_EVN_001,EVN (Electricity of Vietnam),5000000000000,VND,6000000000000,VND,ISIC,3510,NA,NA
CL_L002,CL_0301452948,Vinacomin Power JSC,CL_VINACOMIN_001,Vinacomin,910000000000,VND,1100000000000,VND,ISIC,3511,NA,NA
CL_L003,CL_0103456789,International Power Mong Duong,CL_MONGDUONG_001,International Power,620000000000,VND,750000000000,VND,ISIC,3511,NA,NA
CL_L004,CL_0105678901,Nghi Son Power LLC,CL_NGHISON_001,Nghi Son Power,1030000000000,VND,1200000000000,VND,ISIC,3511,NA,NA
CL_L005,CL_0102345678,PVN Power Corporation,CL_PVN_001,PVN Power,350000000000,VND,420000000000,VND,ISIC,3510,NA,NA
CL_L006,CL_0106789012,Dung Quat LNG Power Consortium,CL_DUNGQUAT_001,Dung Quat,800000000000,VND,960000000000,VND,ISIC,3511,NA,NA
CL_L007,CL_0107890123,Vietnam Hydropower JSC,CL_EVN_001,EVN (Electricity of Vietnam),280000000000,VND,340000000000,VND,ISIC,3511,NA,NA
CL_L008,CL_0108901234,Trung Nam Group,CL_TRUNGNAME_001,Trung Nam,150000000000,VND,180000000000,VND,ISIC,3510,NA,NA
CL_L009,CL_0109012345,BIM Group,CL_BIM_001,BIM Group,120000000000,VND,144000000000,VND,ISIC,3510,NA,NA
CL_L010,CL_0110123456,Thanh Thanh Cong Group,CL_TTC_001,Thanh Thanh Cong,95000000000,VND,114000000000,VND,ISIC,3510,NA,NA
CL_L011,CL_0111234567,Xuan Thien Group,CL_XT_001,Xuan Thien,180000000000,VND,216000000000,VND,ISIC,3510,NA,NA
CL_L012,CL_0112345678,T&T Group,CL_TT_001,T&T Group,200000000000,VND,240000000000,VND,ISIC,3510,NA,NA
CL_L013,CL_0113456789,Gia Lai Electricity JSC,CL_EVN_001,EVN (Electricity of Vietnam),75000000000,VND,90000000000,VND,ISIC,3511,NA,NA
CL_L014,CL_0114567890,THACO Industries,CL_THACO_001,THACO,450000000000,VND,540000000000,VND,ISIC,2910,NA,NA
CL_L015,CL_0115678901,Toyota Motor Corporation,CL_TOYOTA_001,Toyota,300000000000,VND,360000000000,VND,ISIC,2910,NA,NA
CL_L016,CL_0116789012,Ford Motor Company,CL_FORD_001,Ford,250000000000,VND,300000000000,VND,ISIC,2910,NA,NA
CL_L017,CL_0117890123,Hyundai Motor Company,CL_HYUNDAI_001,Hyundai,200000000000,VND,240000000000,VND,ISIC,2910,NA,NA
CL_L018,CL_0118901234,Vingroup JSC,CL_VIN_001,Vingroup,600000000000,VND,720000000000,VND,ISIC,2910,NA,NA
CL_L019,CL_0119012345,Honda Motor Co Ltd,CL_HONDA_001,Honda,180000000000,VND,216000000000,VND,ISIC,2910,NA,NA
CL_L020,CL_0120123456,VICEM,CL_VICEM_001,VICEM,350000000000,VND,420000000000,VND,ISIC,2394,NA,NA
CL_L021,CL_0121234567,Holcim Group,CL_HOLCIM_001,Holcim,280000000000,VND,336000000000,VND,ISIC,2394,NA,NA
CL_L022,CL_0122345678,Hoa Phat Group JSC,CL_HOAPHAT_001,Hoa Phat,900000000000,VND,1080000000000,VND,ISIC,2410,NA,NA
CL_L023,CL_0123456789,Pomina Group,CL_POMINA_001,Pomina,400000000000,VND,480000000000,VND,ISIC,2410,NA,NA
CL_L024,CL_0124567890,Vietnam National Coal-Mineral Industries Group,CL_VINACOMIN_001,Vinacomin,550000000000,VND,660000000000,VND,ISIC,0510,NA,NA
CL_L025,CL_0125678901,Dong Bac Corporation,CL_DONGBAC_001,Dong Bac,150000000000,VND,180000000000,VND,ISIC,0510,NA,NA
CL_L026,CL_0126789012,Cong ty CP Nhiet dien Vinh Tan,CL_EVN_001,EVN (Electricity of Vietnam),420000000000,VND,504000000000,VND,ISIC,3511,NA,NA
CL_L027,CL_0127890123,Nha may Xi mang Hai Phong,CL_VICEM_001,VICEM,180000000000,VND,216000000000,VND,ISIC,2394,NA,NA
CL_L028,CL_0128901234,Tong Cong ty Thep Viet Nam,CL_VNSTEEL_001,VNSTEEL,750000000000,VND,900000000000,VND,ISIC,2410,NA,NA
CL_L031,CL_0131234567,Bad VSIC Code 1,CL_TEST_003,Test Parent 3,150000000000,VND,180000000000,VND,ISIC,9999,NA,NA
CL_L034,CL_0134567890,USD Exposure 1,CL_TEST_006,Test Parent 6,1315e12,VND,1578e12,VND,ISIC,3511,NA,NA
CL_L035,CL_0135678901,USD Exposure 2,CL_TEST_007,Test Parent 7,19725e11,VND,2367e12,VND,ISIC,2910,NA,NA
CL_L036,CL_0136789012,Unmatchable Company Alpha,CL_ALPHA_001,Alpha Group,300000000000,VND,360000000000,VND,ISIC,3511,NA,NA
CL_L037,CL_0137890123,Unmatchable Company Beta,CL_BETA_001,Beta Corp,200000000000,VND,240000000000,VND,ISIC,2910,NA,NA
CL_L038,CL_0138901234,Unmatchable Company Gamma,CL_GAMMA_001,Gamma Ltd,150000000000,VND,180000000000,VND,ISIC,2394,NA,NA
