sector,technology,year,region,scenario_source,metric,production,technology_share,scope,percentage_of_initial_production_by_scope
automotive,electric,2020,global,demo_2020,projected,145649.41640948027,0.1651862785429719,sector,0
automotive,electric,2020,global,demo_2020,target_cps,145649.41640948027,0.1651862785429719,sector,0
automotive,electric,2020,global,demo_2020,target_sds,145649.41640948027,0.1651862785429719,sector,0
automotive,electric,2020,global,demo_2020,target_sps,145649.41640948027,0.1651862785429719,sector,0
automotive,electric,2021,global,demo_2020,projected,147479.58367535102,0.16512423847048682,sector,7.387052336511279e-4
automotive,electric,2021,global,demo_2020,target_cps,148314.27959047747,0.16291734605024497,sector,0.0010756111834566288
automotive,electric,2021,global,demo_2020,target_sds,161822.8718669435,0.16672094717425226,sector,0.006528046051007888
automotive,electric,2021,global,demo_2020,target_sps,149035.06201682385,0.16254919711772545,sector,0.001366538554192061
automotive,electric,2022,global,demo_2020,projected,149309.7509362826,0.1650661376539663,sector,0.0014774104653086679
automotive,electric,2022,global,demo_2020,target_cps,150923.119417794,0.16076003700526623,sector,0.0021286098192284894
automotive,electric,2022,global,demo_2020,target_sds,177996.3272952217,0.16830613249314122,sector,0.013056092090235918
automotive,electric,2022,global,demo_2020,target_sps,152420.70762416744,0.16001794254623009,sector,0.002733077108384122
automotive,electric,2023,global,demo_2020,projected,151139.9181979791,0.16501149809403337,sector,0.002216115697274957
automotive,electric,2023,global,demo_2020,target_cps,153483.2568882306,0.15870005019964362,sector,0.003161950860533855
automotive,electric,2023,global,demo_2020,target_sds,194169.78275268493,0.16993069903752653,sector,0.019584138141243806
automotive,electric,2023,global,demo_2020,target_sps,155806.35323151102,0.1575866833629789,sector,0.004099615662576183
automotive,electric,2024,global,demo_2020,projected,152970.0854591796,0.1649598867496929,sector,0.0029548209290410398
automotive,electric,2024,global,demo_2020,target_cps,155224.78848845308,0.15617456251123432,sector,0.0038648803313224693
automotive,electric,2024,global,demo_2020,target_sds,208164.4985157092,0.17008472298688052,sector,0.02523278565581258
automotive,electric,2024,global,demo_2020,target_sps,158148.76000455068,0.15443501932300896,sector,0.005045074678728451
automotive,electric,2025,global,demo_2020,projected,154800.25271903595,0.16491090793473218,sector,0.0036935261602645954
automotive,electric,2025,global,demo_2020,target_cps,156947.41019808545,0.1537885469589148,sector,0.004560177256492339
automotive,electric,2025,global,demo_2020,target_sds,222159.21430791848,0.17037944777133332,sector,0.03088143318216122
