name_abcd,sector,exposure_vnd,alignment_gap,npv_change,pd_change,trisk_priority_score,trisk_status,composite_score,composite_partial,severity_alignment,severity_trisk,composite_rank_pct,alignment_basis,data_source
Nghi Son Power LLC,power,1030000000000,25.821596244131456,-0.980411177362964,0.21878983510366323,100,Covered — TRISK power pilot,0.9113849765258216,FALSE,0.8227699530516432,1,0.9565217391304348,Borrower-level PACTA market-share gap,mcb-demo
Vinacomin Power JSC,power,910000000000,25.821596244131456,-0.9803850736397988,0.21496139733235503,99.66185204928983,Covered — TRISK power pilot,0.9113849765258216,FALSE,0.8227699530516432,1,0.9565217391304348,Borrower-level PACTA market-share gap,mcb-demo
International Power Mong Duong,power,620000000000,25.821596244131456,-0.980411177362964,0.2098651127799712,99.21584168877004,Covered — TRISK power pilot,0.9113849765258216,FALSE,0.8227699530516432,1,0.9565217391304348,Borrower-level PACTA market-share gap,mcb-demo
Hoa Phat Group JSC,steel,900000000000,7.2,-0.5526472906995419,0.11703441427773756,95,Covered — TRISK steel pilot,0.7852697044581425,FALSE,0.61,0.9605394089162849,0.8695652173913043,"Sector-level SDA gap (steel, 2030)",mcb-demo
Ford Motor Company,automotive,650000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710044722474,TRUE,0.7743710044722474,NA,0.782608695652174,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Hyundai Motor Company,automotive,550000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710044722474,TRUE,0.7743710044722474,NA,0.782608695652174,"PACTA market-share gap (PDP8, 2030)",mcb-demo
THACO Industries,automotive,1200000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710044722474,TRUE,0.7743710044722474,NA,0.782608695652174,"PACTA market-share gap (PDP8, 2030)",mcb-demo
EVN (Electricity of Vietnam),power,5770000000000,11.413748603275389,-0.6331509586411646,0.1380046550648114,59.387485507147574,Covered — TRISK power pilot,0.7676718575409424,FALSE,0.5353437150818847,1,0.6956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Honda Motor Co Ltd,automotive,250000000000,20,NA,NA,NA,N/A - sector not in TRISK pilot,0.75,TRUE,0.75,NA,0.6521739130434783,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Dung Quat LNG Power Consortium,power,680000000000,15.089163237311384,-0.3748844535418372,0.06740230032129979,38.24678718315081,Covered — TRISK power pilot,0.7198163961088244,FALSE,0.6272290809327846,0.8124037112848643,0.6086956521739131,Borrower-level PACTA market-share gap,mcb-demo
PVN Power Corporation,power,2530000000000,11.937059142702118,-0.4063852423681627,0.08241071591401372,39.51076157156529,Covered — TRISK power pilot,0.6935404236038443,FALSE,0.548426478567553,0.8386543686401355,0.5652173913043478,Borrower-level PACTA market-share gap,mcb-demo
Toyota Motor Corporation,automotive,850000000000,15.291968217965161,NA,NA,NA,N/A - sector not in TRISK pilot,0.632299205449129,TRUE,0.632299205449129,NA,0.5217391304347826,"PACTA market-share gap (PDP8, 2030)",mcb-demo
VICEM,cement,1200000000000,2.1,-0.3476733179772608,0.06538552319362756,95,Covered — TRISK cement pilot,0.524030549157192,FALSE,0.25833333333333336,0.7897277649810507,0.4782608695652174,"Sector-level SDA gap (cement, 2030)",mcb-demo
Holcim Group,cement,800000000000,2.1,-0.31836790533012965,0.03790632681809358,5,Covered — TRISK cement pilot,0.5118199605542207,FALSE,0.25833333333333336,0.7653065877751081,0.43478260869565216,"Sector-level SDA gap (cement, 2030)",mcb-demo
Vingroup JSC,automotive,1000000000000,8.571428571428566,NA,NA,NA,N/A - sector not in TRISK pilot,0.42857142857142827,TRUE,0.42857142857142827,NA,0.391304347826087,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Vietnam Hydropower JSC,power,980000000000,21.935483870967744,8.702824577690455e-4,-8.38896922996657e-5,11.625087114367052,Covered — TRISK power pilot,0.3870967741935484,FALSE,0.7741935483870968,0,0.34782608695652173,Borrower-level PACTA market-share gap,mcb-demo
Pomina Group,steel,600000000000,7.2,0.16793033227739623,-0.02242575859043105,5,Covered — TRISK steel pilot,0.305,FALSE,0.61,0,0.30434782608695654,"Sector-level SDA gap (steel, 2030)",mcb-demo
Xuan Thien Group,power,650000000000,13.548387096774196,0.05334563929748404,-0.00797566659462645,1.5571615989910572,Covered — TRISK power pilot,0.29435483870967744,FALSE,0.5887096774193549,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Trung Nam Group,power,870000000000,13.548387096774196,0.05334335093819589,-0.00817672466400343,1.539650865776634,Covered — TRISK power pilot,0.29435483870967744,FALSE,0.5887096774193549,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Thanh Thanh Cong Group,power,520000000000,13.548387096774196,0.05334555145345382,-0.00851347348799957,1.5099138927672249,Covered — TRISK power pilot,0.29435483870967744,FALSE,0.5887096774193549,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Gia Lai Electricity JSC,power,350000000000,13.548387096774196,0.05334588325915412,-0.00871322611367375,1.4923404382536083,Covered — TRISK power pilot,0.29435483870967744,FALSE,0.5887096774193549,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
BIM Group,power,380000000000,13.548387096774189,0.05334519324487432,-0.00879398735995196,1.485291187444756,Covered — TRISK power pilot,0.2943548387096774,FALSE,0.5887096774193548,0,0.06521739130434782,Borrower-level PACTA market-share gap,mcb-demo
T&T Group,power,480000000000,13.548387096774189,0.05334544974439964,-0.00883568887231814,1.4816097734221625,Covered — TRISK power pilot,0.2943548387096774,FALSE,0.5887096774193548,0,0.06521739130434782,Borrower-level PACTA market-share gap,mcb-demo
