"name_abcd","sector","exposure_vnd","materiality","exposure_severity","data_availability","relationship","readiness","readiness_band","readiness_partial","analyst_rationale"
"EVN (Electricity of Vietnam)","power",5.77e+12,0.834861390946419,1,1,,0.938073021604907,"Ready",TRUE,""
"Nghi Son Power LLC","power",1.03e+12,0.981648338108,0.332142857142857,1,,0.784412769647643,"Ready",TRUE,""
"PVN Power Corporation","power",2.53e+12,0.671735603744694,0.671666666666667,1,,0.774296684737594,"Ready",TRUE,""
"Vinacomin Power JSC","power",9.1e+11,0.981648338108,0.289285714285714,1,,0.771019912504786,"Ready",TRUE,""
"International Power Mong Duong","power",6.2e+11,0.981648338108,0.168181818181818,1,,0.733174944972318,"Near-ready",TRUE,""
"THACO Industries","automotive",1.2e+12,0.774371004472247,0.392857142857143,1,,0.72565698381995,"Near-ready",TRUE,""
"Hoa Phat Group JSC","steel",9e+11,0.785269704458142,0.285714285714286,1,,0.696261853457518,"Developing",TRUE,""
"Ford Motor Company","automotive",6.5e+11,0.774371004472247,0.181818181818182,1,,0.659707308495274,"Developing",TRUE,""
"Hyundai Motor Company","automotive",5.5e+11,0.774371004472247,0.136363636363636,1,,0.645502763040729,"Developing",TRUE,""
"Toyota Motor Corporation","automotive",8.5e+11,0.632299205449129,0.267857142857143,1,,0.633317559186281,"Developing",TRUE,""
"VICEM","cement",1.2e+12,0.524030549157192,0.392857142857143,1,,0.631779313076804,"Developing",TRUE,""
"Dung Quat LNG Power Consortium","power",6.8e+11,0.688193443780138,0.195454545454545,1,,0.631652086872097,"Developing",TRUE,""
"Honda Motor Co Ltd","automotive",2.5e+11,0.75,0,1,,0.59375,"Developing",TRUE,""
"Holcim Group","cement",8e+11,0.511819960554221,0.25,1,,0.582557485207833,"Developing",TRUE,""
"Vingroup JSC","automotive",1e+12,0.428571428571428,0.321428571428571,1,,0.573660714285714,"Developing",TRUE,""
"Vietnam Hydropower JSC","power",9.8e+11,0.386239735357912,0.314285714285714,1,,0.555554186473503,"Developing",TRUE,""
"Trung Nam Group","power",8.7e+11,0.34478021978022,0.275,1,,0.527730082417582,"Developing",TRUE,""
"Xuan Thien Group","power",6.5e+11,0.34478021978022,0.181818181818182,1,,0.498610764235764,"Not ready",TRUE,""
"Thanh Thanh Cong Group","power",5.2e+11,0.34478021978022,0.122727272727273,1,,0.480144855144855,"Not ready",TRUE,""
"Pomina Group","steel",6e+11,0.305,0.159090909090909,1,,0.476590909090909,"Not ready",TRUE,""
"T&T Group","power",4.8e+11,0.34478021978022,0.104545454545455,1,,0.474463036963037,"Not ready",TRUE,""
"BIM Group","power",3.8e+11,0.34478021978022,0.0590909090909091,1,,0.460258491508491,"Not ready",TRUE,""
"Gia Lai Electricity JSC","power",3.5e+11,0.34478021978022,0.0454545454545455,1,,0.455997127872128,"Not ready",TRUE,""
