company_id,company_name,asset_id,asset_name,country_iso2,sector,technology,capacity_factor,emission_factor,production_unit,technology_type,production_year,capacity,baseline_note
VN_ABCD_020,VICEM,VN_ABCD_020_IntegratedFacility_2025,VICEM :: IntegratedFacility :: 2025,VN,Cement,IntegratedFacility,1,0.82,tonnes,carbontech,2025,12500000,NA
VN_ABCD_020,VICEM,VN_ABCD_020_IntegratedFacility_2026,VICEM :: IntegratedFacility :: 2026,VN,Cement,IntegratedFacility,1,0.806,tonnes,carbontech,2026,12500000,NA
VN_ABCD_020,VICEM,VN_ABCD_020_IntegratedFacility_2027,VICEM :: IntegratedFacility :: 2027,VN,Cement,IntegratedFacility,1,0.791,tonnes,carbontech,2027,12800000,NA
VN_ABCD_020,VICEM,VN_ABCD_020_IntegratedFacility_2028,VICEM :: IntegratedFacility :: 2028,VN,Cement,IntegratedFacility,1,0.776,tonnes,carbontech,2028,13000000,NA
VN_ABCD_020,VICEM,VN_ABCD_020_IntegratedFacility_2029,VICEM :: IntegratedFacility :: 2029,VN,Cement,IntegratedFacility,1,0.76,tonnes,carbontech,2029,13000000,NA
VN_ABCD_020,VICEM,VN_ABCD_020_IntegratedFacility_2030,VICEM :: IntegratedFacility :: 2030,VN,Cement,IntegratedFacility,1,0.745,tonnes,carbontech,2030,13200000,NA
VN_ABCD_021,Holcim Group,VN_ABCD_021_IntegratedFacility_2025,Holcim Group :: IntegratedFacility :: 2025,VN,Cement,IntegratedFacility,1,0.72,tonnes,carbontech,2025,7000000,NA
VN_ABCD_021,Holcim Group,VN_ABCD_021_IntegratedFacility_2026,Holcim Group :: IntegratedFacility :: 2026,VN,Cement,IntegratedFacility,1,0.706,tonnes,carbontech,2026,7100000,NA
VN_ABCD_021,Holcim Group,VN_ABCD_021_IntegratedFacility_2027,Holcim Group :: IntegratedFacility :: 2027,VN,Cement,IntegratedFacility,1,0.693,tonnes,carbontech,2027,7200000,NA
VN_ABCD_021,Holcim Group,VN_ABCD_021_IntegratedFacility_2028,Holcim Group :: IntegratedFacility :: 2028,VN,Cement,IntegratedFacility,1,0.679,tonnes,carbontech,2028,7300000,NA
VN_ABCD_021,Holcim Group,VN_ABCD_021_IntegratedFacility_2029,Holcim Group :: IntegratedFacility :: 2029,VN,Cement,IntegratedFacility,1,0.666,tonnes,carbontech,2029,7400000,NA
VN_ABCD_021,Holcim Group,VN_ABCD_021_IntegratedFacility_2030,Holcim Group :: IntegratedFacility :: 2030,VN,Cement,IntegratedFacility,1,0.653,tonnes,carbontech,2030,7500000,NA
