scenario,scenario_type,scenario_geography,sector,technology,scenario_year,price_unit,scenario_price,pathway_unit,scenario_pathway,technology_type,scenario_capacity_factor,country_iso2_list,scenario_provider
VN_PDP8_BASELINE,baseline,Vietnam,Power,CoalCap,2025,USD/MWh-equivalent,68,MW,36200,carbontech,0.7,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,CoalCap,2026,USD/MWh-equivalent,68.4,MW,36160,carbontech,0.675,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,CoalCap,2027,USD/MWh-equivalent,68.8,MW,34573.5,carbontech,0.65,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,CoalCap,2028,USD/MWh-equivalent,69.2,MW,33562,carbontech,0.625,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,CoalCap,2029,USD/MWh-equivalent,69.6,MW,32224,carbontech,0.6,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,CoalCap,2030,USD/MWh-equivalent,70,MW,30668,carbontech,0.575,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,GasCap,2025,USD/MWh-equivalent,60,MW,11400,carbontech,0.55,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,GasCap,2026,USD/MWh-equivalent,60.6,MW,12762.4,carbontech,0.56,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,GasCap,2027,USD/MWh-equivalent,61.2,MW,16279.2,carbontech,0.57,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,GasCap,2028,USD/MWh-equivalent,61.8,MW,19778.4,carbontech,0.58,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,GasCap,2029,USD/MWh-equivalent,62.4,MW,22604.5,carbontech,0.59,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,GasCap,2030,USD/MWh-equivalent,63,MW,26352,carbontech,0.6,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,HydroCap,2025,USD/MWh-equivalent,56,MW,12852,greentech,0.45,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,HydroCap,2026,USD/MWh-equivalent,56.1,MW,12837.5,greentech,0.45,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,HydroCap,2027,USD/MWh-equivalent,56.2,MW,12834,greentech,0.45,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,HydroCap,2028,USD/MWh-equivalent,56.3,MW,12853.5,greentech,0.45,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,HydroCap,2029,USD/MWh-equivalent,56.4,MW,12871,greentech,0.45,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,HydroCap,2030,USD/MWh-equivalent,56.5,MW,12947,greentech,0.45,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,RenewablesCap,2025,USD/MWh-equivalent,52,MW,4321.8,greentech,0.3,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,RenewablesCap,2026,USD/MWh-equivalent,52.2,MW,5145.6,greentech,0.306,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,RenewablesCap,2027,USD/MWh-equivalent,52.4,MW,5928,greentech,0.312,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,RenewablesCap,2028,USD/MWh-equivalent,52.6,MW,6733.4,greentech,0.318,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,RenewablesCap,2029,USD/MWh-equivalent,52.8,MW,7537.2,greentech,0.324,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Power,RenewablesCap,2030,USD/MWh-equivalent,53,MW,8308,greentech,0.33,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,CoalCap,2025,USD/MWh-equivalent,55,MW,36200,carbontech,0.7,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,CoalCap,2026,USD/MWh-equivalent,55,MW,36521.6,carbontech,0.7,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,CoalCap,2027,USD/MWh-equivalent,55,MW,35626.5,carbontech,0.7,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,CoalCap,2028,USD/MWh-equivalent,55,MW,35292,carbontech,0.7,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,CoalCap,2029,USD/MWh-equivalent,55,MW,34598.4,carbontech,0.7,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,CoalCap,2030,USD/MWh-equivalent,55,MW,33620,carbontech,0.7,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,GasCap,2025,USD/MWh-equivalent,55,MW,11400,carbontech,0.55,NA,synthetic_vietnam_demo
