scenario,scenario_type,scenario_geography,sector,technology,scenario_year,price_unit,scenario_price,pathway_unit,scenario_pathway,technology_type,scenario_capacity_factor,country_iso2_list,scenario_provider
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,2025,USD/unit-equivalent,92,tonnes,1151525.6331,greentech,0.9888,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,2025,USD/unit-equivalent,92,tonnes,7685145.1513,carbontech,1.0157,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,2026,USD/unit-equivalent,95.927,tonnes,1260576.1003,greentech,1.0001,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,2026,USD/unit-equivalent,95.927,tonnes,7697848.5145,carbontech,0.9998,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,2027,USD/unit-equivalent,102.2742,tonnes,1375760.194,greentech,1.0117,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,2027,USD/unit-equivalent,102.2742,tonnes,7696062.2533,carbontech,0.9836,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,2028,USD/unit-equivalent,108.6221,tonnes,1496928.7023,greentech,1.0235,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,2028,USD/unit-equivalent,108.6221,tonnes,7680581.8287,carbontech,0.967,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,2029,USD/unit-equivalent,114.9796,tonnes,1624419.8683,greentech,1.0356,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,2029,USD/unit-equivalent,114.9796,tonnes,7650403.7819,carbontech,0.9502,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,2030,USD/unit-equivalent,121.3416,tonnes,1758276.5699,greentech,1.0478,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,2030,USD/unit-equivalent,121.3416,tonnes,7605597.8041,carbontech,0.933,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,2025,USD/unit-equivalent,92,tonnes,1151525.6331,greentech,0.9888,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,2025,USD/unit-equivalent,92,tonnes,7685145.1513,carbontech,1.0157,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,2026,USD/unit-equivalent,93.9,tonnes,1233264.681,greentech,0.9941,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,2026,USD/unit-equivalent,93.9,tonnes,7799844.8642,carbontech,1.0083,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,2027,USD/unit-equivalent,95.8,tonnes,1318066.446,greentech,0.9996,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,2027,USD/unit-equivalent,95.8,tonnes,7907071.7948,carbontech,1.0006,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,2028,USD/unit-equivalent,98.1734,tonnes,1405706.7052,greentech,1.0052,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,2028,USD/unit-equivalent,98.1734,tonnes,8007791.1661,carbontech,0.9928,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,2029,USD/unit-equivalent,100.5886,tonnes,1496468.1984,greentech,1.0109,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,2029,USD/unit-equivalent,100.5886,tonnes,8101097.7424,carbontech,0.9848,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,2030,USD/unit-equivalent,103.0057,tonnes,1590319.1192,greentech,1.0167,NA,synthetic_vietnam_demo
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,2030,USD/unit-equivalent,103.0057,tonnes,8187228.2355,carbontech,0.9766,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,2025,USD/unit-equivalent,92,tonnes,1151525.6331,greentech,0.9888,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,2025,USD/unit-equivalent,92,tonnes,7685145.1513,carbontech,1.0157,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,2026,USD/unit-equivalent,93,tonnes,1212781.1165,greentech,0.9896,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,2026,USD/unit-equivalent,93,tonnes,7876342.1266,carbontech,1.0146,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,2027,USD/unit-equivalent,94,tonnes,1274796.1349,greentech,0.9905,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,2027,USD/unit-equivalent,94,tonnes,8065328.951,carbontech,1.0133,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,2028,USD/unit-equivalent,95,tonnes,1337290.2074,greentech,0.9914,NA,synthetic_vietnam_demo
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,2028,USD/unit-equivalent,95,tonnes,8253198.1692,carbontech,1.012,NA,synthetic_vietnam_demo
