run_label,parameter_name,parameter_value,company_id,company_name,sector,npv_change,pd_change,mean_abs_alignment_gap_pp,worst_alignment_gap_pp,alignment_context,stress_priority_score,base_npv_change,base_pd_change,base_stress_priority_score,delta_npv_change_vs_base,delta_pd_change_vs_base,delta_priority_vs_base
base,base,base,VN_ABCD_020,VICEM,Cement,-0.3476733179772608,0.06538552319362756,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,0,0,0
base,base,base,VN_ABCD_021,Holcim Group,Cement,-0.31836790533012965,0.03790632681809358,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,0,0,0
shock_year_2027,shock_year,2027,VN_ABCD_020,VICEM,Cement,-0.2963959040758464,0.05719236407493733,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,0.05127741390141444,-0.00819315911869023,0
shock_year_2027,shock_year,2027,VN_ABCD_021,Holcim Group,Cement,-0.2654409077240537,0.03112480716586352,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,0.05292699760607594,-0.006781519652230061,0
shock_year_2029,shock_year,2029,VN_ABCD_020,VICEM,Cement,-0.43125442142077997,0.0799132235153831,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,-0.08358110344351916,0.014527700321755543,0
shock_year_2029,shock_year,2029,VN_ABCD_021,Holcim Group,Cement,-0.4053896999155939,0.051042280121261,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,-0.08702179458546427,0.013135953303167414,0
discount_rate_0.06,discount_rate,0.06,VN_ABCD_020,VICEM,Cement,-0.34849549383022704,0.06823381853963828,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,-8.221758529662337e-4,0.0028482953460107208,0
discount_rate_0.06,discount_rate,0.06,VN_ABCD_021,Holcim Group,Cement,-0.31914889568661237,0.04001135505163389,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,-7.809903564827136e-4,0.002105028233540307,0
discount_rate_0.10,discount_rate,0.10,VN_ABCD_020,VICEM,Cement,-0.34699444573418187,0.0629656741650737,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,6.788722430789429e-4,-0.0024198490285538554,0
discount_rate_0.10,discount_rate,0.10,VN_ABCD_021,Holcim Group,Cement,-0.31772337482628404,0.03615015804554622,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,6.445305038456084e-4,-0.0017561687725473618,0
risk_free_rate_0.02,risk_free_rate,0.02,VN_ABCD_020,VICEM,Cement,-0.3476733179772608,0.06944032980164427,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,0,0.0040548066080167144,0
risk_free_rate_0.02,risk_free_rate,0.02,VN_ABCD_021,Holcim Group,Cement,-0.31836790533012965,0.04561655270094633,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,0,0.00771022588285275,0
risk_free_rate_0.04,risk_free_rate,0.04,VN_ABCD_020,VICEM,Cement,-0.3476733179772608,0.06103728107987158,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,0,-0.004348242113755979,0
risk_free_rate_0.04,risk_free_rate,0.04,VN_ABCD_021,Holcim Group,Cement,-0.31836790533012965,0.031070753996356393,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,0,-0.00683557282173719,0
market_passthrough_0.15,market_passthrough,0.15,VN_ABCD_020,VICEM,Cement,-0.37917493032552485,0.07217202290586022,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,-0.03150161234826404,0.006786499712232663,0
market_passthrough_0.15,market_passthrough,0.15,VN_ABCD_021,Holcim Group,Cement,-0.3459605497343005,0.04274895209907803,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,-0.027592644404170863,0.004842625280984447,0
market_passthrough_0.35,market_passthrough,0.35,VN_ABCD_020,VICEM,Cement,-0.3161717056289967,0.05875043220429277,2.1,2.1,"Sector-level SDA gap (cement, 2030)",95,-0.3476733179772608,0.06538552319362756,95,0.031501612348264096,-0.006635090989334791,0
market_passthrough_0.35,market_passthrough,0.35,VN_ABCD_021,Holcim Group,Cement,-0.2907752609259588,0.03336888014809314,2.1,2.1,"Sector-level SDA gap (cement, 2030)",5,-0.31836790533012965,0.03790632681809358,5,0.027592644404170863,-0.0045374466700004445,0
