model,scenario,scenario_geography,variable,unit,year,carbon_tax
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2025,12
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2026,18
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2027,26
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2028,34
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2029,42
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2030,50
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2031,58
synthetic_vietnam_demo,cement_intensity_transition,Vietnam,Price|Carbon,USD/t CO2,2032,66
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2025,7.2
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2026,10.8
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2027,15.6
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2028,20.4
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2029,25.2
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2030,30
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2031,34.8
synthetic_vietnam_demo,cement_intensity_transition_below2c,Vietnam,Price|Carbon,USD/t CO2,2032,39.599999999999994
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2025,3.6
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2026,5.4
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2027,7.8
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2028,10.2
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2029,12.6
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2030,15
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2031,17.4
synthetic_vietnam_demo,cement_intensity_transition_delayed,Vietnam,Price|Carbon,USD/t CO2,2032,19.799999999999997
