model,scenario,scenario_geography,variable,unit,year,carbon_tax
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2025,0
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2026,0
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2027,0
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2028,50
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2029,52
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2030,54.08
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2031,56.16
synthetic_vietnam_demo,increasing_carbon_tax_50,Vietnam,Price|Carbon,USD/t CO2,2032,58.239999999999995
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2025,0
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2026,0
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2027,0
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2028,30
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2029,31.2
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2030,32.45
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2031,33.7
synthetic_vietnam_demo,increasing_carbon_tax_50_below2c,Vietnam,Price|Carbon,USD/t CO2,2032,34.95
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2025,0
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2026,0
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2027,0
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2028,15
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2029,15.6
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2030,16.22
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2031,16.839999999999996
synthetic_vietnam_demo,increasing_carbon_tax_50_delayed,Vietnam,Price|Carbon,USD/t CO2,2032,17.459999999999994
