scenario,scenario_type,scenario_geography,sector,technology,technology_type,price_unit,pathway_unit,country_iso2_list,scenario_provider,scenario_year,scenario_price,scenario_pathway,scenario_capacity_factor
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2025,92,1151525.6331,0.9888
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2026,95.927,1260576.1003,1.0001
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2027,102.2742,1375760.194,1.0117
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2028,108.6221,1496928.7023,1.0235
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2029,114.9796,1624419.8683,1.0356
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2030,121.3416,1758276.5699,1.0478
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2031,127.7036,1892133.2715,1.06
VN_NZE_STRESS,target,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2032,134.0656,2025989.9731,1.0722
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2025,92,7685145.1513,1.0157
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2026,95.927,7697848.5145,0.9998
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2027,102.2742,7696062.2533,0.9836
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2028,108.6221,7680581.8287,0.967
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2029,114.9796,7650403.7819,0.9502
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2030,121.3416,7605597.8041,0.933
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2031,127.7036,7560791.826300001,0.9158000000000001
VN_NZE_STRESS,target,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2032,134.0656,7515985.848500001,0.8986000000000001
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2025,92,1151525.6331,0.9888
