run_id,company_id,asset_id,company_name,asset_name,sector,technology,country_iso2,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_change,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_022,VN_ABCD_022_OpenHearth_2026,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2026,Steel,OpenHearth,VN,2854667729.6799793,911183382.6279927,-1943484347.0519867,-0.6808093028991012,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_022,VN_ABCD_022_OpenHearth_2027,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2027,Steel,OpenHearth,VN,2890420218.14212,946758119.0779667,-1943662099.0641532,-0.6724496621164254,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_022,VN_ABCD_022_OpenHearth_2028,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2028,Steel,OpenHearth,VN,2928204470.594508,982935773.786295,-1945268696.8082132,-0.6643213328655525,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_022,VN_ABCD_022_OpenHearth_2029,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2029,Steel,OpenHearth,VN,2968412902.8084106,1019716346.7529774,-1948696556.0554333,-0.6564775925248724,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_022,VN_ABCD_022_OpenHearth_2030,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2030,Steel,OpenHearth,VN,3011015881.3666973,1057099837.9780139,-1953916043.3886833,-0.6489225299276079,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_023,VN_ABCD_023_ElectricArc_2026,Pomina Group,Pomina Group :: ElectricArc :: 2026,Steel,ElectricArc,VN,370311721.1274351,453291353.8732745,82979632.74583942,0.224080492222075,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_023,VN_ABCD_023_ElectricArc_2027,Pomina Group,Pomina Group :: ElectricArc :: 2027,Steel,ElectricArc,VN,384584191.8240216,470745514.91992944,86161323.09590787,0.22403760978125084,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_023,VN_ABCD_023_ElectricArc_2028,Pomina Group,Pomina Group :: ElectricArc :: 2028,Steel,ElectricArc,VN,398491116.24035525,487733030.4034242,89241914.16306895,0.22394957008085845,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_023,VN_ABCD_023_ElectricArc_2029,Pomina Group,Pomina Group :: ElectricArc :: 2029,Steel,ElectricArc,VN,412015166.0384505,504233659.8650443,92218493.82659382,0.2238230565959014,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
68bd2446-55c2-478c-ab61-aadcd13d92ec,VN_ABCD_023,VN_ABCD_023_ElectricArc_2030,Pomina Group,Pomina Group :: ElectricArc :: 2030,Steel,ElectricArc,VN,425151174.758045,520242735.60613954,95091560.84809452,0.22366529012229933,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.06,0.02,1,2026,0.25
