run_id,company_id,asset_id,company_name,asset_name,sector,technology,country_iso2,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_change,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_022,VN_ABCD_022_OpenHearth_2026,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2026,Steel,OpenHearth,VN,1464208335.3346992,425458422.3695086,-1038749912.9651905,-0.7094276735747073,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_022,VN_ABCD_022_OpenHearth_2027,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2027,Steel,OpenHearth,VN,1482016045.1298063,447911983.94570786,-1034104061.1840985,-0.6977684651811741,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_022,VN_ABCD_022_OpenHearth_2028,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2028,Steel,OpenHearth,VN,1500386965.1892433,465457016.36530095,-1034929948.8239424,-0.6897753531825752,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_022,VN_ABCD_022_OpenHearth_2029,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2029,Steel,OpenHearth,VN,1520376078.029161,483308492.6625351,-1037067585.3666259,-0.682112538044508,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_022,VN_ABCD_022_OpenHearth_2030,Hoa Phat Group JSC,Hoa Phat Group JSC :: OpenHearth :: 2030,Steel,OpenHearth,VN,1541894325.2180598,501466412.8374104,-1040427912.3806493,-0.6747725154468732,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_023,VN_ABCD_023_ElectricArc_2026,Pomina Group,Pomina Group :: ElectricArc :: 2026,Steel,ElectricArc,VN,190177055.48130515,232027104.61370626,41850049.13240111,0.22005835050125205,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_023,VN_ABCD_023_ElectricArc_2027,Pomina Group,Pomina Group :: ElectricArc :: 2027,Steel,ElectricArc,VN,197462542.65602836,240917607.46372268,43455064.807694316,0.22006738201174314,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_023,VN_ABCD_023_ElectricArc_2028,Pomina Group,Pomina Group :: ElectricArc :: 2028,Steel,ElectricArc,VN,204504284.69541338,249510972.53624728,45006687.8408339,0.22007699206824155,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_023,VN_ABCD_023_ElectricArc_2029,Pomina Group,Pomina Group :: ElectricArc :: 2029,Steel,ElectricArc,VN,211375186.5317719,257875953.04400986,46500766.512237966,0.21999160485778407,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
93bbefe1-fee0-4370-8c96-edaaa35594e2,VN_ABCD_023,VN_ABCD_023_ElectricArc_2030,Pomina Group,Pomina Group :: ElectricArc :: 2030,Steel,ElectricArc,VN,218075581.50205833,266016117.74937502,47940536.24731669,0.2198344992002885,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.1,0.02,1,2028,0.25
