run_id,company_id,asset_id,company_name,asset_name,sector,technology,country_iso2,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_change,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_001,VN_ABCD_001_CoalCap,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: CoalCap,Power,CoalCap,VN,6091623937.931481,41434775.02507294,-6050189162.906408,-0.993198074036208,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_001,VN_ABCD_001_GasCap,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: GasCap,Power,GasCap,VN,828053151.5272176,399417578.2358529,-428635573.2913647,-0.517642584296445,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_001,VN_ABCD_001_HydroCap,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam) :: HydroCap,Power,HydroCap,VN,2822349685.3568053,2633333011.3501215,-189016674.00668383,-0.06697138734698925,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_002,VN_ABCD_002_CoalCap,Vinacomin Power JSC,Vinacomin Power JSC :: CoalCap,Power,CoalCap,VN,1093613784.0662904,6987278.026635408,-1086626506.039655,-0.9936108358101933,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_003,VN_ABCD_003_CoalCap,International Power Mong Duong,International Power Mong Duong :: CoalCap,Power,CoalCap,VN,702311438.1010121,4006963.3549625822,-698304474.7460495,-0.9942946061567827,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_004,VN_ABCD_004_CoalCap,PVN Power Corporation,PVN Power Corporation :: CoalCap,Power,CoalCap,VN,370664370.1088676,2114786.2151191407,-368549583.89374846,-0.9942946061567828,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_004,VN_ABCD_004_GasCap,PVN Power Corporation,PVN Power Corporation :: GasCap,Power,GasCap,VN,3921654645.5955334,2474214095.6839113,-1447440549.911622,-0.3690892443926095,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_005,VN_ABCD_005_CoalCap,Nghi Son Power LLC,Nghi Son Power LLC :: CoalCap,Power,CoalCap,VN,717918358.9477013,4096006.985072862,-713822351.9626285,-0.9942946061567828,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_006,VN_ABCD_006_GasCap,Dung Quat LNG Power Consortium,Dung Quat LNG Power Consortium :: GasCap,Power,GasCap,VN,0,0,0,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
118b7af4-ecae-4823-8e35-dab59e6f49c0,VN_ABCD_007,VN_ABCD_007_HydroCap,Vietnam Hydropower JSC,Vietnam Hydropower JSC :: HydroCap,Power,HydroCap,VN,1172070378.5691469,1017946204.3884666,-154124174.18068027,-0.13149737165854639,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,increasing_carbon_tax_50,0.03,0.08,0.02,1,2029,0.25
