run_id,asset_id,asset_name,company_id,company_name,country_iso2,sector,technology,year,production_plan_company_technology,production_baseline_scenario,production_target_scenario,production_shock_scenario,pd,net_profit_margin,debt_equity_ratio,volatility,scenario_price_baseline,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76390797,NA,76390797,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78555574.85888661,NA,72736643.38785797,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80626420.00009204,NA,69124159.80803502,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83024071.23997512,NA,65907184.531047665,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85364315.54136242,NA,62745320.28643761,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87609370.93057428,NA,59625465.75804618,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2025,NA,VN_ABCD_022,NA,NA,Steel,OpenHearth,2031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89361558.34918576,NA,1489359305.8197627,NA,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2026,Hoa Phat Group JSC :: OpenHearth :: 2026,VN_ABCD_022,Hoa Phat Group JSC,VN,Steel,OpenHearth,2025,7820890,7820890,7820890,7820890,0.024,0.109,1.55,0.27,92,92,78427884.92,78427884.92,78427884.92,78427884.92,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2026,Hoa Phat Group JSC :: OpenHearth :: 2026,VN_ABCD_022,Hoa Phat Group JSC,VN,Steel,OpenHearth,2026,7763910,7763910,7711185.372330036,7763910,0.024,0.109,1.55,0.27,93.9,93.9,79464395.241,79464395.241,73578143.74166666,73578143.74166666,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
dba5e56a-b4b8-45c8-a667-ffde51924af3,VN_ABCD_022_OpenHearth_2026,Hoa Phat Group JSC :: OpenHearth :: 2026,VN_ABCD_022,Hoa Phat Group JSC,VN,Steel,OpenHearth,2027,NA,7811233.758352102,7584478.81744998,7811233.758352102,0.024,0.109,1.55,0.27,95.8,95.8,81566465.15146431,81566465.15146431,69930097.00914292,69930097.00914292,VN_PDP8_BASELINE,VN_NZE_STRESS,Vietnam,steel_intensity_transition,0.03,0.08,0.02,1,2028,0.15
