sector,year,region,emission_factor_value,emission_factor_metric
cement,2025,vietnam,0.798125,projected
cement,2026,vietnam,0.7838816199376947,projected
cement,2027,vietnam,0.7694878048780488,projected
cement,2028,vietnam,0.7547357357357357,projected
cement,2029,vietnam,0.7391736526946108,projected
cement,2030,vietnam,0.7246460176991151,projected
steel,2025,vietnam,1.6748275862068966,projected
steel,2026,vietnam,1.66084375,projected
steel,2027,vietnam,1.6473188720173535,projected
steel,2028,vietnam,1.6338164556962025,projected
steel,2029,vietnam,1.620611909650924,projected
steel,2030,vietnam,1.60755,projected
cement,2025,vietnam,0.82,target_steps
cement,2026,vietnam,0.8159,target_steps
cement,2027,vietnam,0.8118,target_steps
cement,2028,vietnam,0.8077,target_steps
cement,2029,vietnam,0.8036,target_steps
cement,2030,vietnam,0.7995,target_steps
cement,2025,vietnam,0.82,target_pdp8_ndc
cement,2026,vietnam,0.798,target_pdp8_ndc
cement,2027,vietnam,0.776,target_pdp8_ndc
cement,2028,vietnam,0.754,target_pdp8_ndc
cement,2029,vietnam,0.732,target_pdp8_ndc
cement,2030,vietnam,0.71,target_pdp8_ndc
cement,2025,vietnam,0.82,target_nze_global
cement,2026,vietnam,0.764,target_nze_global
cement,2027,vietnam,0.708,target_nze_global
cement,2028,vietnam,0.652,target_nze_global
cement,2029,vietnam,0.596,target_nze_global
cement,2030,vietnam,0.54,target_nze_global
steel,2025,vietnam,1.75,target_steps
steel,2026,vietnam,1.73,target_steps
steel,2027,vietnam,1.71,target_steps
steel,2028,vietnam,1.69,target_steps
steel,2029,vietnam,1.67,target_steps
steel,2030,vietnam,1.65,target_steps
steel,2025,vietnam,1.75,target_pdp8_ndc
steel,2026,vietnam,1.7,target_pdp8_ndc
steel,2027,vietnam,1.65,target_pdp8_ndc
steel,2028,vietnam,1.6,target_pdp8_ndc
steel,2029,vietnam,1.55,target_pdp8_ndc
steel,2030,vietnam,1.5,target_pdp8_ndc
steel,2025,vietnam,1.75,target_nze_global
steel,2026,vietnam,1.66,target_nze_global
steel,2027,vietnam,1.57,target_nze_global
steel,2028,vietnam,1.48,target_nze_global
steel,2029,vietnam,1.39,target_nze_global
steel,2030,vietnam,1.3,target_nze_global
